method,type,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,report_dir
hfl/chinese-roberta-wwm-ext,transformer,0.8199,0.6903,0.6034,0.6276,0.812,0.8199,0.812,/home/selab/Desktop/Thomas/Fine-Tuning-YTcomment/outputs/hfl__chinese-roberta-wwm-ext
bert-base-chinese,transformer,0.8268,0.5461,0.5589,0.5523,0.8017,0.8268,0.8138,/home/selab/Desktop/Thomas/Fine-Tuning-YTcomment/outputs/bert-base-chinese
Corpus Lexicon Baseline,corpus,0.5729,0.4034,0.4276,0.3906,0.5709,0.5729,0.5553,/home/selab/Desktop/Thomas/Fine-Tuning-YTcomment/outputs/corpus-lexicon-baseline
